ID,Sample Index,Column,Row Index,Column Index,Component Index,Prediction,more extreme bagging estimators,Input,Standard Deviations
218_W,218,W,70,10,,0.06779937412512535,0.0,3.0,61.00321049582826
752_N,752,N,79,7,,0.002185,0.0,0.1,53.022102
25_N,25,N,9,7,,0.00447,0.0,0.13,33.43712
212_W,212,W,68,10,,0.056846855277893675,0.0,1.84,31.798355552206015
589_Nb,589,Nb,27,8,,0.0145499995,0.0,0.41,30.969522
6_N,6,N,1,7,,0.00512,0.0,0.12,27.114706
215_W,215,W,69,10,,0.05620983069527572,0.0,1.84,24.973129448590864
589_N,589,N,27,7,,0.002765,0.0,0.05,20.719347
27_Si,27,Si,10,2,,0.016499998,0.0,0.67,16.968306
595_N,595,N,29,7,,0.0033599997,0.0,0.03,10.60488
596_N,596,N,30,7,,0.00644,0.0,0.05,10.476968
293_Mn,293,Mn,99,1,,0.022549998,0.0,0.51,9.13038
589_Si,589,Si,27,2,,0.17130001,0.0,1.2,7.62632
178_W,178,W,57,10,,0.05111711902188382,0.0,0.5,7.5094786629424055
212_Mo,212,Mo,68,5,,2.3509347007724215,0.0,0.02,7.027843170790072
547_Ti,547,Ti,13,12,,0.28973332,0.0,1.29,6.905286
459_N,459,N,127,7,,0.0015649999,0.0,0.01,6.6930223
732_Mo,732,Mo,71,5,,2.6539211137989525,0.0,6.02,6.552415234145487
455_N,455,N,126,7,,0.0016700001,0.0,0.01,6.3311687
547_Mo,547,Mo,13,5,,2.523418136566254,0.0,5.1,6.310615219625924
17_N,17,N,7,7,,0.005544999,0.0,0.03,5.8374505
21_N,21,N,8,7,,0.005525,0.0,0.03,5.8353457
307_N,307,N,102,7,,0.0013499999,0.0,0.01,5.682066
585_Nb,585,Nb,26,8,,0.022349998,0.0,0.2,5.560455
841_Mo,841,Mo,107,5,,2.591863061554987,0.0,4.99,5.423668396395355
15_N,15,N,5,7,,0.006710001,0.0,0.03,5.416879
550_Mo,550,Mo,14,5,,2.5514117877831923,0.0,5.1,5.391944044946079
394_N,394,N,115,7,,0.0019400001,0.0,0.01,5.3072276
540_Mo,540,Mo,11,5,,2.5752237789008734,0.0,5.1,5.290808036582102
752_YS/MPa,752,YS/MPa,79,14,,1252.9965,0.0,1016.4,5.15141
767_Ti,767,Ti,85,12,,0.19499998,0.0,0.05,5.079128
387_N,387,N,114,7,,0.0017649999,0.0,0.01,5.06611
429_Elong/%,429,Elong/%,121,16,,17.55849,0.0,14.0,4.9901357
552_V,552,V,16,6,,0.10513141,0.0,0.94,4.915936
579_Mo,579,Mo,24,5,,2.6871020222084154,0.0,5.1,4.903562868171572
704_Mo,704,Mo,64,5,,2.6373303447178866,0.0,5.1,4.830673872949278
293_Elong/%,293,Elong/%,99,16,,16.415953,0.0,4.0,4.771075
566_Mo,566,Mo,22,5,,2.7036093299894657,0.0,5.1,4.741403837812186
332_Si,332,Si,108,2,,0.01485,0.0,0.04,4.5744286
555_YS/MPa,555,YS/MPa,18,14,,1293.0109,0.0,1164.4,4.4152327
795_Si,795,Si,96,2,,0.1087,0.0,0.41,4.366524
830_Mo,830,Mo,106,5,,2.361422046021238,0.0,0.49,4.197989953927072
829_Mo,829,Mo,105,5,,2.361422046021238,0.0,0.49,4.197989953927072
823_Mo,823,Mo,103,5,,2.361422046021238,0.0,0.49,4.197989953927072
696_Co,696,Co,61,9,,11.571258140269938,0.0,4.88,4.184245268304323
651_UTS/MPa,651,UTS/MPa,44,15,,1838.4363,0.0,1481.4,4.0509477
153_Mo,153,Mo,49,5,,2.5689829381541034,0.0,0.98,3.720659263190911
154_Mo,154,Mo,50,5,,2.5689829381541034,0.0,0.98,3.720659263190911
130_Mo,130,Mo,41,5,,2.5689829381541034,0.0,0.98,3.720659263190911
192_Mo,192,Mo,62,5,,2.461011553258615,0.0,0.64,3.642957476440173
589_Co,589,Co,27,9,,8.547274571470709,0.0,4.0,3.538707919298598
752_Si,752,Si,79,2,,0.12100001,0.0,0.5,3.4101963
146_Mo,146,Mo,47,5,,2.5258592962126665,0.0,1.0,3.3787157439576156
528_V,528,V,6,6,,0.26190564,0.0,2.0,3.363864
291_Mo,291,Mo,98,5,,2.688104066670072,0.0,0.99,3.3600628195086197
136_Mo,136,Mo,43,5,,2.5371004498885386,0.0,1.0,3.3329927215905384
432_Elong/%,432,Elong/%,123,16,,17.934416,0.0,15.5,3.3085077
589_YS/MPa,589,YS/MPa,27,14,,1240.4235,0.0,1074.9,3.2303443
218_Co,218,Co,70,9,,6.99103335658545,0.0,0.01,3.1953889668486313
293_Co,293,Co,99,9,,11.372792329754075,0.0,15.56,3.1784629203460906
