,Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
0,1,0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0.0,1038,1123.1,1929.2,8.0
1,2,0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0.0,0.04,0.0,1093,1405.6,1894.8,14.0
2,3,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0.0,0.04,0.0,1093,1529.6,2025.7,14.0
3,4,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0.0,0.04,0.0,1038,,1991.2,9.0
4,5,0.16,0.01,0.01,13.56,0.01,4.7,0.4,0.04,0.01,16.2,0.0,0.04,0.0,1093,1274.7,1949.9,12.0
6,7,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,1149,1316.0,2011.9,12.0
7,8,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,1093,1322.9,2025.7,16.0
8,9,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,1038,1295.3,2011.9,12.0
9,10,0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0.0,0.05,0.0,1093,1322.9,1984.3,16.0
10,11,0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0.0,0.03,0.0,1093,1515.8,2101.5,6.0
11,12,0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0.0,0.05,0.0,1093,1529.6,2108.3,12.0
12,13,0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0.0,0.05,0.0,1093,1405.6,2122.1,12.0
13,14,0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0.0,0.05,0.0,1093,1164.4,2032.6,4.0
15,16,0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0.0,0.03,0.0,1093,1343.6,2060.1,14.0
17,18,0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0.0,0.05,0.0,1093,1550.3,2122.1,12.0
18,19,0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0.0,0.05,0.0,1093,1240.2,1598.5,14.0
19,20,0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0.0,0.03,0.0,1093,1233.3,1612.3,14.0
21,22,0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0.0,0.03,0.0,1093,1502.0,2094.6,11.0
22,23,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0.0,0.04,0.0,1038,1440.0,1887.9,12.0
