Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
1,0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0,1038,1123.1,1929.2,8
2,0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0,0.04,0,1093,1405.6,1894.8,14
3,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0,0.04,0,1093,1529.6,2025.7,14
4,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0,0.04,0,1038,,1991.2,9
5,0.16,0.01,0.01,13.56,0.01,4.7,0.4,0.04,0.01,16.2,0,0.04,0,1093,1274.7,1949.9,12
6,0.17,0.01,0.01,14.48,0.01,5.22,0.41,0.12,0.01,11.41,0,0.13,0,1093,1536.5,2135.9,10
7,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0,0.03,0,1149,1316,2011.9,12
8,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0,0.03,0,1093,1322.9,2025.7,16
9,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0,0.03,0,1038,1295.3,2011.9,12
10,0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0,0.05,0,1093,1322.9,1984.3,16
11,0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0,0.03,0,1093,1515.8,2101.5,6
12,0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0,0.05,0,1093,1529.6,2108.3,12
13,0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0,0.05,0,1093,1405.6,2122.1,12
14,0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0,0.05,0,1093,1164.4,2032.6,4
15,0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0,0.03,0,1038,1281.5,1963.7,9
16,0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0,0.03,0,1093,1343.6,2060.1,14
17,0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0,0.07,0,1093,1460.7,2067,12
18,0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0,0.05,0,1093,1550.3,2122.1,12
19,0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0,0.05,0,1093,1240.2,1598.5,14
20,0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0,0.03,0,1093,1233.3,1612.3,14
21,0.16,0.01,0.01,14.24,0.01,7.15,0.41,0.03,0.01,13.6,0,0.04,0,1093,1460.7,2197.9,4
22,0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0,0.03,0,1093,1502,2094.6,11
23,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0,0.04,0,1038,1440,1887.9,12
24,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0,0.04,0,1093,1502,1991.2,13
25,0.16,0.01,0.01,14.4,0.01,5.28,0.41,0.13,0.01,11.74,0,0.04,0,1093,1646.7,2149.7,10
26,0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0,0.05,0,1093,1350.4,2039.4,12
27,0.16,0.01,0.67,14.5,0.01,5.09,0.41,0.02,0.01,13.41,0,0.04,0,1093,1412.5,2129,4
28,0.01,0.01,0.03,7.93,10.02,0.2,0,0.01,0,8.14,2.29,0.2,0.49,900,1935,,8
29,0.01,0.01,0.03,7.93,10.02,0.2,0,0.01,0,8.14,2.29,0.2,0.49,900,1250,1460,9
30,0.01,0.01,0.03,7.93,10.02,0.2,0,0.01,0,8.14,2.29,0.2,0.49,900,,1865,10
31,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,9.2,0,0.92,0.7,982,1619.2,1722.5,9
32,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,9.2,0,0.92,0.7,982,1936.1,2067,6
33,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,9.2,0,0.92,0.7,982,1729.4,1874.1,8
34,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,9.2,0,0.92,0.7,982,1281.5,1398.7,16
35,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,9.2,0,0.92,0.7,982,1502,1660.5,10
36,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,9.2,0,0.92,0.7,982,1412.5,,
37,0.01,0.05,0.11,4.62,12.08,2.79,0.01,0,0.01,0.01,0,0.21,0.2,816,1167.2,1220.9,17.5
38,0.01,0.03,0.11,4.77,12.21,3.03,0.01,0,0.01,0.01,0,0.26,0.2,816,1216.8,1249.8,17
39,0.01,0.05,0.12,4.8,12.16,2.99,0.01,0,0.01,0.01,0,0.4,0.19,816,1272.6,1318.1,17.5
40,0.01,0.08,0.05,4.65,12.11,3.13,0.01,0,0.01,0.01,0,0.57,0.2,816,1390.4,1413.8,15
41,0.02,0.08,0.04,4.73,12.08,3.15,0.01,0,0.01,0.01,0,0.38,0.23,816,1243.6,1267.1,17
42,0,0.05,0.06,4.81,11.5,2.95,0.01,0,0.01,0.01,0,0.66,0.2,816,1451.7,1494.4,16
43,0.01,0.05,0.06,4.86,11.6,2.95,0.01,0,0.01,0.01,0,0.58,0.22,816,1437.3,1459.3,16
44,0.01,0.05,0.06,5.32,12.95,2.93,0.01,0,0.01,0.01,0,0.51,0.2,816,1404.2,1429,15
45,0,0.04,0.06,5.01,11.83,2.98,0.01,0,0.01,0.01,0,0.39,0.2,816,1324.3,1351.8,16
46,0.01,0.02,0.03,5,12.16,3,0.01,0,0.01,0.01,0,0.31,0.21,816,1309.8,1345.6,15
47,0.01,0.1,0.18,4.87,12.08,2.97,0.01,0,0.01,0.01,0,0.25,0.15,816,1230.6,1262.2,16
48,0.02,0.21,0.19,4.98,12.26,2.97,0.01,0,0.01,0.01,0,0.23,0.14,816,1194,1223.7,15
49,0.01,0.08,0.04,4.7,12.2,3.13,0.01,0,0.01,0.01,0,0.26,0.19,816,1212.6,1244.3,18
50,0.01,0.07,0.04,4.57,12.05,3.12,0.01,0,0.01,0.01,0,0.34,0.18,816,1254,1286.4,16
51,0.01,0.06,0.03,4.67,12.14,3.17,0.01,0,0.01,0.01,0,0.47,0.19,816,1390.4,,15
52,0.01,0.04,1.87,0.01,16.7,0.02,0.01,0,0.01,0.01,0,0.05,0.08,816,1233.3,1260.9,17
53,0.01,0.04,1.87,0.01,16.7,0.02,0.01,0,0.01,0.01,0,0.05,0.08,816,1143.7,1185.1,19
54,0.02,0.1,2.02,0.01,18.4,0.02,0.01,0,0.01,0.01,0,0.03,0,816,1460.7,1502,16
55,0.02,0.1,2.02,0.01,18.4,0.02,0.01,0,0.01,0.01,0,0.03,0,816,1136.9,1185.1,14
56,0.01,0.06,2.58,0.01,17.8,0.02,0.01,0,0.01,0.01,0,0.05,0.07,816,1350.4,1412.5,15
57,0.01,0.06,2.58,0.01,17.8,0.02,0.01,0,0.01,0.01,0,0.05,0.07,816,1267.8,1336.7,17
58,0.02,0.11,3.18,0.01,18.3,0.02,0.01,0,0.01,0.01,0,0.03,0,816,1460.7,1502,16
59,0.02,0.11,3.18,0.01,18.3,0.02,0.01,0,0.01,0.01,0,0.03,0,816,1378,1460.7,12
60,0.01,0.1,3.3,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.05,0.11,816,1522.7,1564,14
61,0.01,0.1,3.3,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.05,0.11,816,1426.2,1495.1,13
62,0.02,0.1,4.27,0.01,18.1,0.02,0.01,0,0.01,0.01,0,0.07,0.09,816,1736.3,1839.6,4
63,0.02,0.1,4.27,0.01,18.1,0.02,0.01,0,0.01,0.01,0,0.07,0.09,816,1867.2,1991.2,
64,0.35,0.07,4.75,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.03,0,816,1495.1,1825.9,2
65,0.35,0.07,4.75,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.03,0,816,,2073.9,
66,0.01,1.72,0.02,0.01,18.1,0.02,0.01,0,0.01,0.01,0,0.05,0.06,816,1136.9,1192,8
67,0.01,2.5,0.02,0.01,18,0.02,0.01,0,0.01,0.01,0,0.05,0.04,816,1460.7,1502,13
68,0.01,2.5,0.02,0.01,18,0.02,0.01,0,0.01,0.01,0,0.05,0.04,816,1481.4,1543.4,11
69,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0,0.01,11.8,0,0.17,1.54,0,2452.8,2501.1,11
70,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0,0.01,11.8,0,0.17,1.54,760,2370.2,2425.3,6
71,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0,0.01,11.8,0,0.17,1.54,816,2321.9,2383.9,11
72,0.01,0.05,0.05,0.01,18,3.6,0.01,0,0.01,13,0,0.08,1.88,0,2473.5,2528.6,7
73,0.01,0.05,0.05,0.01,18,3.6,0.01,0,0.01,13,0,0.08,1.88,760,2404.6,2466.6,8
74,0.01,0.05,0.05,0.01,18,3.6,0.01,0,0.01,13,0,0.08,1.88,816,2356.4,2432.2,8
75,0,0.05,0.05,0.01,18.1,3.5,0.01,0,0.01,13,0,0.1,1.62,0,2363.3,2425.3,11
76,0,0.05,0.05,0.01,18.1,3.5,0.01,0,0.01,13,0,0.1,1.62,760,2335.7,2397.7,8
77,0,0.05,0.05,0.01,18.1,3.5,0.01,0,0.01,13,0,0.1,1.62,816,,2370.2,9
78,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0,0.01,11.5,0,0.62,1.48,0,2576.9,2625.1,7
79,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0,0.01,11.5,0,0.62,1.48,760,2528.6,2590.6,6
80,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0,0.01,11.5,0,0.62,1.48,816,2425.3,2494.2,10
81,0.02,0.05,0.05,0.01,17,4.07,0.69,0,0.01,12.3,0,0.16,1.58,816,2383.9,2432.2,10
82,0.02,0.05,0.05,0.01,17,4.07,0.69,0,0.01,12.3,0,0.16,1.58,0,2446,2501.1,10
83,0.02,0.05,0.05,0.01,17,4.07,0.69,0,0.01,12.3,0,0.16,1.58,760,,2377.1,9
84,0.01,0.05,0.05,0.01,17.4,4.97,0.01,0,0.01,7.9,0,0.13,1.5,816,2356.4,,8
85,0,0.05,0.05,0.01,18,3.6,0.5,0,0.01,12,0,0.02,1.9,0,2446,2508,8
86,0,0.05,0.05,0.01,18,3.6,0.5,0,0.01,12,0,0.02,1.9,760,2397.7,2459.7,10
87,0,0.05,0.05,0.01,18,3.6,0.5,0,0.01,12,0,0.02,1.9,816,,2439.1,7
88,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0,0.01,12.2,0,0.23,1.78,0,2404.6,2452.8,8
89,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0,0.01,12.2,0,0.23,1.78,760,2397.7,2452.8,
90,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0,0.01,12.2,0,0.23,1.78,816,2315,2418.4,8
91,0.02,0.05,0.05,0.01,19.7,2.95,0.01,0,0.01,15,0,0.15,1.55,816,,2473.5,7
92,0.01,0.05,0.05,0.01,17.7,3.95,0.01,0,0.01,15,0,0.13,1.47,816,2487.3,2514.9,9
